SampleID	Env	SourceSink	id
ERR526003	Env_4	Sink	1
ERR525760	Env_3	Sink	2
ERR526067	Env_4	Sink	3
ERR525873	Env_2	Sink	4
ERR525779	Env_4	Sink	5
ERR525919	Env_4	Sink	6
ERR525764	Env_3	Sink	7
ERR525745	Env_1	Sink	8
ERR526049	Env_2	Sink	9
ERR525822	Env_1	Sink	10
ERR525708	Env_4	Sink	11
ERR525816	Env_3	Sink	12
ERR525944	Env_3	Sink	13
ERR526058	Env_1	Sink	14
ERR525737	Env_4	Sink	15
ERR525921	Env_2	Sink	16
ERR526024	Env_3	Sink	17
ERR525996	Env_3	Sink	18
ERR525959	Env_4	Sink	19
ERR526016	Env_3	Sink	20
ERR525820	Env_3	Sink	21
ERR525732	Env_1	Sink	22
ERR525823	Env_4	Sink	23
ERR525898	Env_3	Sink	24
ERR525754	Env_3	Sink	25
ERR525703	Env_3	Sink	26
ERR525867	Env_4	Sink	27
ERR525879	Env_4	Sink	28
ERR525845	Env_2	Sink	29
ERR525883	Env_1	Sink	30
ERR525828	Env_3	Sink	31
ERR526038	Env_1	Sink	32
ERR525758	Env_1	Sink	33
ERR525931	Env_4	Sink	34
ERR526005	Env_2	Sink	35
ERR525933	Env_2	Sink	36
ERR525953	Env_4	Sink	37
ERR526037	Env_2	Sink	38
ERR525975	Env_4	Sink	39
ERR525726	Env_3	Sink	40
ERR526036	Env_3	Sink	41
ERR526041	Env_2	Sink	42
ERR525768	Env_3	Sink	43
ERR525915	Env_4	Sink	44
ERR525890	Env_3	Sink	45
ERR525817	Env_2	Sink	46
ERR525982	Env_1	Sink	47
ERR525945	Env_3	Sink	48
ERR526071	Env_2	Source	48
ERR525856	Env_3	Source	48
ERR525947	Env_1	Source	48
ERR526013	Env_2	Source	48
ERR525767	Env_4	Source	48
ERR525909	Env_6	Source	48
ERR525805	Env_2	Source	48
ERR525774	Env_1	Source	48
ERR525750	Env_2	Source	48
ERR526054	Env_1	Source	48
ERR525891	Env_2	Source	48
ERR525824	Env_3	Source	48
ERR525878	Env_1	Source	48
ERR525799	Env_4	Source	48
ERR526056	Env_3	Source	48
ERR525721	Env_2	Source	48
ERR525971	Env_4	Source	48
ERR525997	Env_2	Source	48
ERR525713	Env_3	Source	48
ERR525874	Env_1	Source	48
ERR525748	Env_2	Source	48
ERR526050	Env_1	Source	48
ERR525782	Env_1	Source	48
ERR525749	Env_1	Source	48
ERR525724	Env_1	Source	48
ERR525725	Env_4	Source	48
ERR525837	Env_2	Source	48
ERR525893	Env_4	Source	48
ERR525857	Env_2	Source	48
ERR525797	Env_2	Source	48
ERR525998	Env_1	Source	48
ERR525812	Env_1	Source	48
ERR525784	Env_3	Source	48
ERR525807	Env_2	Source	48
ERR525950	Env_3	Source	48
ERR525928	Env_4	Source	48
ERR525958	Env_1	Source	48
ERR525727	Env_2	Source	48
ERR526085	Env_2	Source	48
ERR525830	Env_1	Source	48
ERR525880	Env_3	Source	48
ERR525697	Env_4	Source	48
ERR525934	Env_1	Source	48
ERR525729	Env_4	Source	48
ERR526006	Env_1	Source	48
ERR525913	Env_2	Source	48
ERR525804	Env_4	Source	48
ERR526031	Env_4	Source	48
ERR525994	Env_1	Source	48
ERR525904	Env_3	Source	48
ERR525884	Env_4	Source	48
ERR526029	Env_2	Source	48
ERR525786	Env_1	Source	48
ERR525813	Env_4	Source	48
ERR525717	Env_3	Source	48
ERR526052	Env_3	Source	48
ERR525836	Env_3	Source	48
ERR526076	Env_3	Source	48
ERR525696	Env_1	Source	48
ERR525941	Env_2	Source	48
ERR525853	Env_2	Source	48
ERR525701	Env_3	Source	48
ERR525705	Env_1	Source	48
ERR525897	Env_2	Source	48
ERR525920	Env_3	Source	48
